offer_id,portal,job_title,company,location,seniority_raw,seniority_group,work_mode_raw,work_mode_group,employment_raw,employment_group,category_raw,category_group,tools_raw,salary_raw,salary_disclosed,record_quality,source_url,access_date,tasks_competencies,requirements,fit_notes,status_raw,duplicate_source_url,duplicate_title_company
1,Pracuj.pl,Junior Data Analyst / Młodszy Analityk Danych,OEC Sp. z o.o.,"Kraków, Podgórze",junior,Junior / entry,hybrydowa,Hybrid,umowa o pracę,Employment contract,analityczne / dane,Data analysis,MS Office,brak informacji,No,Verified,https://www.pracuj.pl/praca/junior-data-analyst-mlodszy-analityk-danych-krakow-wadowicka-3a%2Coferta%2C1004923871,2026-07-09,"analiza i weryfikacja danych, katalogi elektroniczne, jakość informacji","angielski B2, MS Office, umiejętności analityczne","bardzo pasuje – dane, jakość informacji, katalogi, praca z informacją",zweryfikowana – aktywna wg źródła,No,No
2,Pracuj.pl,Młodszy analityk danych (k/m),Polskie Supermarkety Sp. z o.o.,"Giebnia, pow. inowrocławski",junior,Junior / entry,stacjonarna,On-site,umowa o pracę,Employment contract,analityczne / dane,Data analysis,brak informacji,5 000–6 000 zł brutto/mies.,Yes,Verified,https://www.pracuj.pl/praca/mlodszy-analityk-danych-k-m-giebnia-pow-inowroclawski%2Coferta%2C1004955778,2026-07-09,analiza danych,junior,pasuje – młodszy analityk danych,zweryfikowana,No,No
3,Pracuj.pl,Junior Data Governance Analyst,Randstad Polska Sp. z o.o.,Kraków,junior,Junior / entry,hybrydowa,Hybrid,umowa o pracę tymczasową,Employment contract,data governance,Data governance & quality,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/junior-data-governance-analyst-krakow%2Coferta%2C1004922861,2026-07-09,zarządzanie jakością i ładem danych,junior,bardzo pasuje – data governance i zarządzanie informacją,zweryfikowana,No,No
4,Pracuj.pl,Junior Data Analyst,Autopay,Sopot,junior,Junior / entry,brak informacji,Unknown,brak informacji,Unknown,analityczne / dane,Data analysis,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/junior-data-analyst-sopot-powstancow-warszawy-6%2Coferta%2C1004924842,2026-07-09,analiza danych,junior,pasuje – junior data analyst,zweryfikowana,No,No
5,Pracuj.pl,Młodszy Analityk Finansowy / Młodsza Analityczka Finansowa,PKO Ubezpieczenia,"Warszawa, Śródmieście",junior,Junior / entry,hybrydowa,Hybrid,umowa zlecenie,Civil-law contract,analityczne / finansowe,Data analysis,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/mlodszy-analityk-finansowy-mlodsza-analityczka-finansowa-warszawa-swietokrzyska-36%2Coferta%2C1004905742,2026-07-09,"analiza, raportowanie, dane finansowe",junior,pasuje jako stanowisko analityczne dla absolwenta,zweryfikowana,No,No
6,Pracuj.pl,Młodszy Developer / Administrator Środowiska BI w Zespole Aplikacji Business Intelligence (k/m),ORLEN S.A.,Warszawa,junior/mid,Junior–Mid,hybrydowa,Hybrid,umowa o pracę,Employment contract,BI / systemy informacyjne,Reporting & BI,"Power BI, SQL",brak informacji,No,Verified,https://www.pracuj.pl/praca/mlodszy-developer-administrator-srodowiska-bi-w-zespole-aplikacji-business-intel-warszawa-bielanska-12%2Coferta%2C1004932531,2026-07-09,"administracja środowiskiem BI, dane, raportowanie",junior/mid,pasuje – BI i systemy informacyjne,zweryfikowana,No,No
7,Pracuj.pl,Młodszy Analityk Danych (k/m),Diagnosis S.A.,Białystok,junior,Junior / entry,stacjonarna,On-site,umowa o pracę,Employment contract,analityczne / dane,Data analysis,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/mlodszy-analityk-danych-k-m-bialystok%2Coferta%2C1004922237,2026-07-09,analiza danych,"junior, angielski",pasuje – młodszy analityk danych,zweryfikowana,No,No
8,Pracuj.pl,Junior Data Analyst (Power BI) (K/M),IT SQUAD Sp. z o.o.,Warszawa,junior,Junior / entry,hybrydowa,Hybrid,umowa zlecenie / B2B,Multiple options,BI / analiza danych,Reporting & BI,"SQL, Excel, Power BI",brak informacji,No,Verified,https://www.pracuj.pl/praca/junior-data-analyst-power-bi-k-m-warszawa%2Coferta%2C1004935491,2026-07-09,"analiza danych, raportowanie, BI",junior,"bardzo pasuje – Excel, SQL, Power BI",zweryfikowana,No,No
9,Pracuj.pl,Junior Group Purchasing Data Analyst (M/F/X),Eurofins GSC Poland Sp. z o.o.,Katowice,junior,Junior / entry,hybrydowa,Hybrid,umowa o pracę,Employment contract,analityczne / purchasing data,Data analysis,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/junior-group-purchasing-data-analyst-m-f-x-katowice-ksiedza-piotra-sciegiennego-3%2Coferta%2C1004954842,2026-07-09,analiza danych zakupowych,junior,pasuje – analiza danych w organizacji,zweryfikowana,No,No
10,Pracuj.pl,Młodszy Analityk Biznesowy (k/m),Salve Medica Sp. z o.o. Sp. k.,Łódź,junior,Junior / entry,stacjonarna,On-site,umowa o pracę,Employment contract,analityczne / biznesowe,Business & systems analysis,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/mlodszy-analityk-biznesowy-k-m-lodz-szparagowa-10%2Coferta%2C1004956478,2026-07-09,"analiza biznesowa, raporty, dane",junior,pasuje – analityka biznesowa i informacja organizacyjna,zweryfikowana,No,No
11,Pracuj.pl,Młodszy analityk/tester (k/m),autoDNA.pl,Łódź,junior,Junior / entry,stacjonarna,On-site,umowa o pracę / B2B,Multiple options,analityczne / testowanie / dane,Data analysis,"SQL, MS Office, GitLab, Postman, BPMN, UML",brak informacji,No,Verified,https://www.pracuj.pl/praca/mlodszy-analityk-tester-k-m-lodz-obywatelska-128-152%2Coferta%2C1004892470,2026-07-09,"analiza danych pojazdów, dokumentacja, baza wiedzy, konfiguracja aplikacji","SQL podstawowy, Excel, angielski B1","bardzo pasuje – analiza danych, dokumentacja, baza wiedzy",zweryfikowana,No,No
12,Pracuj.pl,Młodszy Specjalista/Specjalista ds. Kalkulacji Ofert i Analiz Rynku (K/M),myORLEN sp. z o.o.,Warszawa,junior/mid,Junior–Mid,brak informacji,Unknown,brak informacji,Unknown,analizy rynku / raportowanie,Reporting & BI,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/mlodszy-specjalista-specjalista-ds-kalkulacji-ofert-i-analiz-rynku-k-m-warszawa-jana-kazimierza-3%2Coferta%2C1004910029,2026-07-09,"analizy rynku, kalkulacje, zestawienia",junior/mid,pasuje – analiza rynku i danych organizacyjnych,zweryfikowana,No,No
13,Pracuj.pl,Data Analyst / BI Analyst (Power BI + Excel),POLSKIE PRACOWNIE OPTYCZNE sp. z o.o.,Warszawa,mid/senior,Mid+,stacjonarna/hybrydowa,Hybrid,B2B,B2B,BI / dane,Reporting & BI,"Power BI, Excel",brak informacji,No,Verified,https://www.pracuj.pl/praca/data-analyst-bi-analyst-power-bi-%2B-excel-warszawa-plac-marszalka-jozefa-pilsudskiego-2%2Coferta%2C1004898630,2026-07-09,"analiza danych, BI, raportowanie",mid/senior,"pasuje merytorycznie, ale poziom wyższy – ewentualnie porównawczo",zweryfikowana – raczej nie jako główny junior,No,No
14,Pracuj.pl,Staż w dziale Master Data,Stock Polska Sp. z o.o.,Lublin,staż,Junior / entry,stacjonarna,On-site,staż / praktyka,Internship / placement,master data / dane podstawowe,Data governance & quality,brak informacji,"31,50 zł brutto/godz.",Yes,Verified,https://www.pracuj.pl/praca/staz-w-dziale-master-data-lublin%2Coferta%2C1004923641,2026-07-09,"praca z danymi podstawowymi, wsparcie działu",staż,bardzo pasuje – poziom wejścia i master data,zweryfikowana,No,No
15,Pracuj.pl,HR Data Analyst,KPMG,Warszawa,mid,Mid+,hybrydowa,Hybrid,umowa o pracę / zastępstwo,Employment contract,HR analytics,Data analysis,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/hr-data-analyst-warszawa-ulica-inflancka-4a%2Coferta%2C1004898652,2026-07-09,"analiza danych HR, raportowanie",mid,"pasuje merytorycznie, ale niekoniecznie junior",zweryfikowana – porównawczo,No,No
