offer_id,tool
1,MS Office
6,Power BI
6,SQL
8,Excel
8,Power BI
8,SQL
11,MS Office
11,SQL
11,BPMN
11,UML
11,GitLab
11,Postman
13,Excel
13,Power BI
17,Excel
17,MS Office
18,Excel
18,MS Office
18,PowerPoint
27,Python
29,SAP
47,BI tools
48,BI tools
49,BI tools
50,BI tools
63,MS Office
68,Qlik
68,SharePoint
69,Excel
69,MS Office
71,Excel
71,MS Office
72,SQL
72,Python
72,R
72,BI tools
74,Excel
75,MS Office
77,SQL
77,Data warehouse
81,SQL
81,Azure
83,Excel
83,Power BI
84,Excel
84,Power BI
84,SQL
85,Excel
85,Power BI
86,Excel
86,Power BI
87,MS Office
88,MS Office
89,MS Office
90,MS Office
90,CRM
91,MS Office
92,SQL
92,Python
92,BI tools
93,Jira
93,Confluence
93,UML
94,Excel
94,Power BI
94,SQL
95,Excel
95,Power BI
95,SQL
96,Excel
96,Power BI
97,MS Office
98,Excel
99,Excel
99,Power BI
99,SQL
100,MS Office
